Run_Number,Time_Seconds
1,6.778e-06
2,3.418e-06
3,3.092e-06
4,2.839e-06
5,2.771e-06
6,2.796e-06
7,2.822e-06
8,2.786e-06
9,2.824e-06
10,2.796e-06
11,2.846e-06
12,2.789e-06
13,2.876e-06
14,2.809e-06
15,2.848e-06
16,2.839e-06
17,2.839e-06
18,2.823e-06
19,2.807e-06
20,2.815e-06
21,2.895e-06
22,2.821e-06
23,2.822e-06
24,2.804e-06
25,2.826e-06
26,2.822e-06
27,2.816e-06
28,2.8e-06
29,2.813e-06
30,2.819e-06
31,2.835e-06
32,2.824e-06
33,2.809e-06
34,2.828e-06
35,2.811e-06
36,2.831e-06
37,2.826e-06
38,2.823e-06
39,2.833e-06
40,2.829e-06
41,2.819e-06
42,2.82e-06
43,2.823e-06
44,2.835e-06
45,2.827e-06
46,2.819e-06
47,2.8e-06
48,2.825e-06
49,2.828e-06
50,2.809e-06
51,2.815e-06
52,2.825e-06
53,2.823e-06
54,2.823e-06
55,2.819e-06
56,2.831e-06
57,2.825e-06
58,2.82e-06
59,2.82e-06
60,2.827e-06
61,2.806e-06
62,2.832e-06
63,2.819e-06
64,2.836e-06
65,2.825e-06
66,2.824e-06
67,2.917e-06
68,2.832e-06
69,2.813e-06
70,2.819e-06
71,2.831e-06
72,2.823e-06
73,2.815e-06
74,2.812e-06
75,2.816e-06
76,2.821e-06
77,2.811e-06
78,2.81e-06
79,2.825e-06
80,2.813e-06
81,2.817e-06
82,2.795e-06
83,2.809e-06
84,2.824e-06
85,2.821e-06
86,2.81e-06
87,2.819e-06
88,1.0588e-05
89,2.966e-06
90,2.783e-06
91,2.823e-06
92,2.805e-06
93,2.806e-06
94,2.791e-06
95,2.805e-06
96,2.825e-06
97,2.818e-06
98,2.831e-06
99,2.824e-06
100,2.81e-06
