Run_Number,Time_Seconds
1,0.0226351
2,0.0224112
3,0.0179246
4,0.01576
5,0.0138619
6,0.0137821
7,0.0118427
8,0.00604005
9,0.0051824
10,0.00521726
11,0.005218
12,0.0052605
13,0.00525063
14,0.00521423
15,0.00521705
16,0.00519145
17,0.00517192
18,0.00524746
19,0.00518124
20,0.00517579
21,0.00518532
22,0.00519517
23,0.00521154
24,0.00530719
25,0.00521553
26,0.00524953
27,0.00518573
28,0.0052448
29,0.00517942
30,0.00525029
31,0.00520897
32,0.0051765
33,0.00526801
34,0.00525987
35,0.00520354
36,0.0051697
37,0.00534181
38,0.00538323
39,0.00520554
40,0.00575657
41,0.00520439
42,0.00519332
43,0.00521257
44,0.00521882
45,0.00522565
46,0.00519333
47,0.00517539
48,0.00520107
49,0.00524186
50,0.00522653
51,0.00518306
52,0.0051822
53,0.00522932
54,0.00517519
55,0.00519315
56,0.00521192
57,0.0051699
58,0.00519814
59,0.00520641
60,0.00518711
61,0.0051759
62,0.00519571
63,0.0052273
64,0.0051926
65,0.00519634
66,0.00520815
67,0.0052142
68,0.00521
69,0.00521816
70,0.00516963
71,0.00518332
72,0.00518863
73,0.00518536
74,0.00521759
75,0.00522988
76,0.00524525
77,0.0052099
78,0.00521828
79,0.00524271
80,0.00521015
81,0.00523136
82,0.00518866
83,0.00516741
84,0.00520048
85,0.00522052
86,0.00517155
87,0.0100869
88,0.010621
89,0.0106473
90,0.0106125
91,0.0106396
92,0.0106703
93,0.0106146
94,0.0106578
95,0.0106481
96,0.0106628
97,0.0106348
98,0.0106506
99,0.0106189
100,0.0106505
